,gen,gensd,train,trainsd,m1,m1sd,m2,m2sd,P,D,N,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd
0,0.2677,0.02591567,0.26765996,0.028119856000000002,0.6410706,0.19340046,0.04415209,0.043882605,10000,30,31,0.0,0.70710677,10,1e-08,auto,0.22823000000000002,0.024404877999999998,0.05495,0.0014101424
1,0.26792997,0.018035133999999998,0.26793998,0.015301453000000001,0.60622466,0.10744814,0.044659194000000006,0.028043007000000002,10000,30,36,0.0,0.70710677,10,1e-08,auto,0.24489,0.020286372,0.056879997,0.0026554847
2,0.25272,0.020481298000000002,0.24975999,0.019793900000000003,0.65917236,0.125223,0.10404837,0.042728185999999994,10000,30,42,0.0,0.70710677,10,1e-08,auto,0.24379,0.024933407,0.057450004000000006,0.0024249745
3,0.24791999,0.017293684,0.24418004,0.021513985,0.67452586,0.12485341,0.11970611,0.04382839400000001,10000,30,50,0.0,0.70710677,10,1e-08,auto,0.24345,0.018642064,0.056920000000000005,0.0020774023
4,0.24904001,0.015046543,0.24430999,0.015583033,0.6797356999999999,0.08896515,0.13961294,0.026976112000000003,10000,30,58,0.0,0.70710677,10,1e-08,auto,0.24758000000000002,0.015993482,0.055850007,0.004227588
5,0.24243999,0.020833923,0.23770997,0.019807851,0.6671957,0.14837646,0.24382487,0.089577205,10000,30,68,0.0,0.70710677,10,1e-08,auto,0.24871998,0.022791347000000003,0.055979997000000004,0.0023574564
6,0.23838997,0.015566405,0.22996001,0.015145177,0.6991574,0.10486645,0.29645476,0.04120304,10000,30,79,0.0,0.70710677,10,1e-08,auto,0.24539001,0.017281,0.056989998,0.0028710453999999997
7,0.22689,0.012708855,0.22271999999999997,0.012644903,0.7293563,0.09261441,0.31211793,0.046774246,10000,30,92,0.0,0.70710677,10,1e-08,auto,0.23868000000000003,0.01379027,0.055400002999999996,0.0026974063
8,0.21738999,0.015351578000000001,0.21241002,0.015384957,0.78632796,0.118856296,0.40288338,0.05307729,10000,30,107,0.0,0.70710677,10,1e-08,auto,0.23332998,0.015704206999999998,0.057999999999999996,0.0021949941
9,0.22491999,0.014460138999999999,0.21476999,0.014016423,0.68225664,0.090142,0.52398145,0.07592589400000001,10000,30,125,0.0,0.70710677,10,1e-08,auto,0.24893,0.016426746000000002,0.055530004,0.0020445292000000003
