gen,gensd,train,trainsd,N,D,P,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd,time
0.22449999,0.023817012,0.0,0.0,400,10,200,0.0,1.0,10,1e-08,cholesky,,,,,0.22478366438299419
0.22956519,0.024656428,0.0,0.0,691,12,345,0.0,1.0,10,1e-08,cholesky,,,,,0.20913467183709145
0.22007298,0.020857273,0.0,0.0,1097,14,548,0.0,1.0,10,1e-08,cholesky,,,,,0.24427644591778516
0.20927961,0.01370788,0.0,0.0,1638,16,819,0.0,1.0,10,1e-08,cholesky,,,,,0.23501556608825921
0.21200685,0.013651188,0.0,0.0,2332,18,1166,0.0,1.0,10,1e-08,cholesky,,,,,0.410532727278769
0.20649998,0.008606864,0.0,0.0,3200,20,1600,0.0,1.0,10,1e-08,cholesky,,,,,0.528644772991538
0.2028652,0.008115013,0.0,0.0,4259,22,2129,0.0,1.0,10,1e-08,cholesky,,,,,0.8092487396672368
0.19717798,0.009638953,0.0,0.0,5529,24,2764,0.0,1.0,10,1e-08,cholesky,,,,,1.244416302628815
0.20036986,0.00634373,0.0,0.0,7030,26,3515,0.0,1.0,10,1e-08,cholesky,,,,,2.0167148392647505
0.20316628,0.004177267,0.0,0.0,8780,28,4390,0.0,1.0,10,1e-08,cholesky,,,,,3.3616183742880823
