D,N,P,T,Unnamed: 0,eps,gamma,gen,gensd,lingen,lingensd,quadgen,quadgensd,solver,train,trainsd,zeta
30.0,10000.0,31.0,50.0,0.0,0.0,1.0,0.5103226,0.09562543,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,50.0,50.0,3.0,0.0,1.0,0.5072,0.075763844,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,79.0,50.0,6.0,0.0,1.0,0.49265823,0.05648691,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,125.0,50.0,9.0,0.0,1.0,0.50320005,0.05266042,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,199.0,50.0,12.0,0.0,1.0,0.50482416,0.033426873,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,368.0,50.0,16.0,0.0,1.0,0.48994568,0.026902176,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,501.0,50.0,18.0,0.0,1.0,0.49832335,0.022346767000000003,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,681.0,50.0,20.0,0.0,1.0,0.4948017,0.016781155,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,926.0,50.0,22.0,0.0,1.0,0.48300216,0.015988283,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,1258.0,50.0,24.0,0.0,1.0,0.46829888,0.0155011155,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,1711.0,50.0,26.0,0.0,1.0,0.4496318,0.00893312,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,2326.0,50.0,28.0,0.0,1.0,0.4277816,0.011376143,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,3162.0,20.0,0.0,0.0,1.0,0.40553445,0.009037442,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,3686.0,20.0,1.0,0.0,1.0,0.3948725,0.008888232,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,4298.0,20.0,2.0,0.0,1.0,0.38895994,0.009518833,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,5011.0,20.0,3.0,0.0,1.0,0.38196966,0.0076882713,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,5843.0,20.0,4.0,0.0,1.0,0.37376347,0.006052798000000001,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,6812.0,20.0,5.0,0.0,1.0,0.36987668,0.0049871746,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,7943.0,20.0,6.0,0.0,1.0,0.36569306,0.005825795,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,9261.0,20.0,7.0,0.0,1.0,0.36201274,0.005867424,,,,,auto,5.3989854e-05,7.243498e-05,0.0001
30.0,10000.0,10797.0,20.0,8.0,0.0,1.0,0.35294524,0.0048307264,,,,,auto,0.0010373252,0.00035582794,0.0001
30.0,10000.0,12589.0,20.0,9.0,0.0,1.0,0.34232667,0.004610448,,,,,auto,0.0061601405,0.0008024352000000001,0.0001
30.0,10000.0,14677.0,20.0,10.0,0.0,1.0,0.32679020000000003,0.005206291,,,,,auto,0.01784084,0.0009384861,0.0001
30.0,10000.0,17113.0,20.0,11.0,0.0,1.0,0.31221876,0.003850693,,,,,auto,0.033299245,0.0013569378,0.0001
30.0,10000.0,19952.0,20.0,12.0,0.0,1.0,0.2964615,0.004798398,,,,,auto,0.050443567,0.0023573842,0.0001
30.0,10000.0,23263.0,20.0,13.0,0.0,1.0,0.28281394,0.003399757,,,,,auto,0.065799765,0.0022558447,0.0001
30.0,10000.0,27122.0,20.0,14.0,0.0,1.0,0.2685458,0.0034634569,,,,,auto,0.08014344,0.0017828784,0.0001
