D,N,P,T,Unnamed: 0,eps,gamma,gen,gensd,lingen,lingensd,quadgen,quadgensd,solver,train,trainsd,zeta
30.0,10000.0,42.0,50.0,2.0,0.0,1.0,0.50285715,0.06976475,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,68.0,50.0,5.0,0.0,1.0,0.51411766,0.055724237,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,107.0,50.0,8.0,0.0,1.0,0.4973832,0.03562648,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,171.0,50.0,11.0,0.0,1.0,0.4935673,0.042525515,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,271.0,50.0,14.0,0.0,1.0,0.5026569000000001,0.030707587,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,429.0,50.0,17.0,0.0,1.0,0.5069464,0.022490198,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,681.0,50.0,20.0,0.0,1.0,0.49741554,0.01705859,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,1079.0,50.0,23.0,0.0,1.0,0.5027989,0.016054766,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,1711.0,50.0,26.0,0.0,1.0,0.4993454000000001,0.011866503,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,2712.0,50.0,29.0,0.0,1.0,0.4986726,0.011156921,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,4298.0,10.0,2.0,0.0,1.0,0.50030243,0.0043216520000000005,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,6812.0,10.0,5.0,0.0,1.0,0.5043159,0.006145355799999999,,,,,auto,0.0,0.0,0.0001
30.0,10000.0,10797.0,10.0,8.0,0.0,1.0,0.49795312,0.004530383,,,,,auto,0.0015189404,0.00055447366,0.0001
30.0,10000.0,17113.0,10.0,11.0,0.0,1.0,0.50118625,0.0032943934,,,,,auto,0.11764741,0.002634387,0.0001
30.0,10000.0,27122.0,10.0,14.0,0.0,1.0,0.49954653,0.0015033055,,,,,auto,0.22339801,0.0020631636,0.0001
