gen,gensd,train,trainsd,m1,m1sd,m2,m2sd,N,D,P,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd
0.28387097,0.072131224,0.0,0.0,0.84546584,0.2314051,0.001576087,0.015829077,10000,30,31,0.0,1.0,50,1e-08,auto,0.39290318,0.10634207,0.42193544,0.08383125
0.2725,0.080970675,0.0,0.0,0.9552493,0.20956954,-0.0024393955,0.026583215,10000,30,40,0.0,1.0,50,1e-08,auto,0.29400003,0.090906546,0.42799994,0.07978722
0.22879997,0.06041986,0.0,0.0,0.9803812,0.18623202,9.2036724e-05,0.040344212,10000,30,50,0.0,1.0,50,1e-08,auto,0.22359999,0.066295095,0.39360005,0.07013587
0.2059375,0.054098617,0.0,0.0,1.0240164,0.1502364,0.01598776,0.059965037,10000,30,64,0.0,1.0,50,1e-08,auto,0.195,0.05889941,0.4046875,0.055043485
0.18987656,0.044846606,0.0,0.0,1.0453546,0.17331138,0.015619582,0.06452556,10000,30,81,0.0,1.0,50,1e-08,auto,0.16320987,0.056374755,0.3787654,0.052520093
0.16653846,0.038144853,0.0,0.0,1.0721363,0.15867172,-0.0033598638,0.073253214,10000,30,104,0.0,1.0,50,1e-08,auto,0.13692306,0.03621109,0.36673078,0.045100562
0.16696972,0.036425453,0.0,0.0,1.1073067,0.15123482,0.016036589,0.09842782,10000,30,132,0.0,1.0,50,1e-08,auto,0.11560606,0.030597433,0.355303,0.042834863
0.15616769,0.027774105,0.0,0.0,1.0763098,0.17946178,0.0009690547,0.12342508,10000,30,167,0.0,1.0,50,1e-08,auto,0.0982036,0.026832763,0.3500599,0.031938344
0.16603774,0.027260723,0.0,0.0,1.0892218,0.14300679,-0.024721386,0.14546533,10000,30,212,0.0,1.0,50,1e-08,auto,0.088773586,0.023389567,0.3314151,0.035722345
0.18877323,0.024807435,0.0,0.0,1.0775994,0.14811037,-0.011147383,0.15237631,10000,30,269,0.0,1.0,50,1e-08,auto,0.084535316,0.020071734,0.32684013,0.03423176
0.19777776,0.0232581,0.0,0.0,1.0787494,0.15898736,0.01593449,0.20570952,10000,30,342,0.0,1.0,50,1e-08,auto,0.07187135,0.015714463,0.33637428,0.03049897
0.20861754,0.020610003,0.0,0.0,1.0874535,0.16016325,0.022111101,0.17905156,10000,30,434,0.0,1.0,50,1e-08,auto,0.06410138,0.011499427,0.39682025,0.02841973
0.21125226,0.02119919,0.0,0.0,1.0773135,0.14774689,-0.015811168,0.22277385,10000,30,551,0.0,1.0,50,1e-08,auto,0.055172414,0.012065895,0.33618873,0.0278608
0.20203148,0.016823668,0.0,0.0,1.1100602,0.14993912,-0.032359812,0.21770024,10000,30,699,0.0,1.0,50,1e-08,auto,0.049699567,0.010662873,0.25124463,0.022040557
0.19413753,0.01500072,0.0,0.0,1.0787537,0.13071421,-0.016173469,0.17829065,10000,30,887,0.0,1.0,50,1e-08,auto,0.043923333,0.009326664,0.21188274,0.017000007
0.17968029,0.01417785,0.0,0.0,1.0894829,0.13661435,-0.023120055,0.18414418,10000,30,1126,0.0,1.0,50,1e-08,auto,0.036181167,0.00558532,0.17239788,0.012881595
0.17081875,0.0119778635,0.0,0.0,1.0978179,0.1643563,-0.02251971,0.135043,10000,30,1429,0.0,1.0,50,1e-08,auto,0.033002097,0.006107624,0.14769767,0.010317487
0.1633315,0.0075817695,0.0,0.0,1.0887522,0.13639826,-0.021849714,0.16435815,10000,30,1813,0.0,1.0,50,1e-08,auto,0.030810809,0.0052187103,0.12407061,0.009068897
0.16460669,0.008364798,0.0,0.0,1.0931032,0.1384244,0.011310991,0.11558532,10000,30,2301,0.0,1.0,50,1e-08,auto,0.025484577,0.004227647,0.109960884,0.007838841
0.17019863,0.0080721695,0.0,0.0,1.100589,0.14005928,-0.014804359,0.11552087,10000,30,2920,0.0,1.0,50,1e-08,auto,0.024335613,0.0049183657,0.095342465,0.0055614584
0.17941715,0.0070817266,0.0,0.0,1.1175658,0.12033218,-0.0007073116,0.10658466,10000,30,3706,0.0,1.0,50,1e-08,auto,0.020787911,0.0035003282,0.084517,0.005944235
0.19544971,0.0062278523,0.0,0.0,1.1823566,0.15108316,0.021887694,0.10132723,10000,30,4703,0.0,1.0,50,1e-08,auto,0.019136721,0.003517344,0.074182436,0.0048778392
0.22037533,0.0066847117,0.0,0.0,1.1841631,0.20637226,0.023818076,0.115137495,10000,30,5968,0.0,1.0,50,1e-08,auto,0.01599866,0.0029731907,0.06498995,0.0035346907
0.2671227,0.0057182056,0.0,0.0,1.2610903,0.18389821,0.004153366,0.15490091,10000,30,7573,0.0,1.0,50,1e-08,auto,0.014530568,0.0024774356,0.057485804,0.0030050855
0.404589,0.009981312,0.013962538,0.020351965,1.310919,0.3325771,0.02581677,0.36557114,10000,30,9610,0.0,1.0,50,1e-08,auto,0.012578565,0.0017864889,0.050278872,0.0029134601
0.2775974,0.0056365365,0.000101681035,9.3581584e-05,1.3174816,0.22325324,-0.0031057454,0.1583525,10000,30,12195,0.0,1.0,50,1e-08,auto,0.011393193,0.001684466,0.045010243,0.00227373
0.19682068,0.004387736,0.0017822293,0.00036943183,1.2863562,0.19642818,0.0050375722,0.07991107,10000,30,15475,0.0,1.0,50,1e-08,auto,0.010742488,0.001637667,0.039855253,0.0020363743
0.15246664,0.003394257,0.0059435787,0.00061029923,1.3008558,0.1772379,0.016653199,0.06913628,10000,30,19638,0.0,1.0,50,1e-08,auto,0.009385885,0.0013951961,0.035016805,0.001968493
0.12597753,0.0026469764,0.011258428,0.0007421115,1.2531402,0.17290035,0.00037382066,0.044551045,10000,30,24920,0.0,1.0,50,1e-08,auto,0.008107544,0.0012594942,0.031084271,0.0014980511
0.10722725,0.0026555713,0.016446143,0.0007159619,1.2403897,0.17303321,0.008563386,0.04077847,10000,30,31622,0.0,1.0,50,1e-08,auto,0.0074770725,0.0010585752,0.027327178,0.0014303639
