gen,gensd,train,trainsd,m1,m1sd,m2,m2sd,P,D,N,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd,a
0.43425003,0.09371866,0.36364996,0.07434667,0.09275135400000001,0.09424358599999999,-0.000525575,0.0189555,40,30,3,0.0,1.0,500,0.0001,auto,0.28155002,0.085034385,0.41360003,0.07524985,1.0
0.40625003,0.09303057,0.31080002,0.07126261,0.16592972,0.11568839,0.0002841666,0.026581702999999998,40,30,5,0.0,1.0,500,0.0001,auto,0.28685,0.08491659,0.42069995,0.07753393,1.0
0.40450004,0.09089692,0.29415,0.07262594,0.18659231,0.12763876,0.0028898749,0.029938452,40,30,6,0.0,1.0,500,0.0001,auto,0.28150004,0.08733699,0.40905002,0.08061853,1.0
0.40294996,0.09284421,0.27585,0.071836814,0.21238281,0.13267572,0.0018157798,0.033812225,40,30,7,0.0,1.0,500,0.0001,auto,0.28300002,0.09022749,0.41559994,0.078000896,1.0
0.38250005,0.09105629999999999,0.21480002,0.06918063,0.31923816,0.16861849,0.0050658113000000005,0.043634027,40,30,10,0.0,1.0,500,0.0001,auto,0.29149997,0.08903791,0.4205,0.07862728,1.0
0.3722,0.09091018,0.18345003,0.06422498,0.36957553,0.17776754,-0.0001963425,0.04924889,40,30,12,0.0,1.0,500,0.0001,auto,0.2859,0.08842336,0.42635003,0.07675889,1.0
0.35535,0.088826396,0.1385,0.06504037,0.46490479999999995,0.18801011,0.0009374105999999999,0.06081561,40,30,15,0.0,1.0,500,0.0001,auto,0.28265002,0.08746558,0.42030004,0.08235843,1.0
0.34625003,0.08495403,0.08625001,0.05200661,0.58888745,0.22538327,-0.0022865862,0.07831123,40,30,19,0.0,1.0,500,0.0001,auto,0.28635,0.0870197,0.42075,0.07998867,1.0
0.34315002,0.08743184,0.028700002000000002,0.03080276,0.72131705,0.25016900000000003,-0.0017365842,0.11423436,40,30,25,0.0,1.0,500,0.0001,auto,0.28595,0.08500792,0.4202,0.08052614,1.0
0.34905,0.09438139999999999,0.006049999,0.01564121,0.84518826,0.31959623,0.014136872,0.1623229,40,30,31,0.0,1.0,500,0.0001,auto,0.2805,0.08381378,0.41895,0.0797474,1.0
0.40295002,0.08892439,0.0,0.0,0.9521544,0.52440166,0.006058559,0.358252,40,30,39,0.0,1.0,500,0.0001,auto,0.28509998,0.08264677,0.41475,0.08072289999999999,1.0
0.35819998,0.08335322,0.0,0.0,0.9198485000000001,0.33816183,0.010271967,0.19393797,40,30,50,0.0,1.0,500,0.0001,auto,0.28730002,0.08358355,0.41985,0.07744177,1.0
0.32195002,0.08842764,0.0,0.0,0.95220405,0.26271385,-0.0039396663,0.12219547,40,30,63,0.0,1.0,500,0.0001,auto,0.28495,0.08932943,0.41219997,0.07475734,1.0
0.30315,0.08027345,0.0,0.0,0.94048756,0.25717738,-0.0016782121,0.10128459,40,30,79,0.0,1.0,500,0.0001,auto,0.28984997,0.08308566,0.42255,0.07434882,1.0
0.29535002,0.08233849,0.0,0.0,0.9245502,0.22937338,-0.0074903243,0.082698345,40,30,100,0.0,1.0,500,0.0001,auto,0.29094997,0.09196112,0.41379997,0.07684113,1.0
0.28375,0.086586304,0.0,0.0,0.9481506,0.22429557,-0.0014862566,0.07296646,40,30,125,0.0,1.0,500,0.0001,auto,0.2823,0.09108628,0.41139996,0.07466619,1.0
0.2733,0.07932283,0.0,0.0,0.92816263,0.21826512,0.0018316271,0.06086463,40,30,158,0.0,1.0,500,0.0001,auto,0.2839,0.08823712,0.41735,0.07902675,1.0
0.27435002,0.08947530000000001,0.0,0.0,0.9414302999999999,0.22706936,-0.005630489399999999,0.053586367999999995,40,30,199,0.0,1.0,500,0.0001,auto,0.2857,0.09556679,0.41985,0.08089948400000001,1.0
0.25945002,0.080261745,0.0,0.0,0.9405870000000001,0.21668473,-0.0063466216,0.047912177,40,30,251,0.0,1.0,500,0.0001,auto,0.2791,0.089082494,0.41935,0.07390418,1.0
0.26760003,0.08094899,0.0,0.0,0.94426715,0.22450207,0.0005548576599999999,0.043181825,40,30,316,0.0,1.0,500,0.0001,auto,0.28855002,0.09054086,0.4186,0.07783984,1.0
0.26845,0.07909392,0.0,0.0,0.93506634,0.21177159999999998,-0.0007020253,0.038999908,40,30,398,0.0,1.0,500,0.0001,auto,0.2944,0.08682534,0.42024997,0.07958446400000001,1.0
0.26180002,0.08102937,0.0,0.0,0.9415735000000001,0.21205232,-0.00067404314,0.03798739,40,30,501,0.0,1.0,500,0.0001,auto,0.2856,0.088924915,0.41600004,0.07721075,1.0
0.27035,0.07962178,0.0,0.0,0.922349,0.21573179999999997,0.0017134689000000002,0.032193024,40,30,630,0.0,1.0,500,0.0001,auto,0.2923,0.0901011,0.41730002,0.07673467,1.0
0.26154998,0.07784823,0.0,0.0,0.9380630999999999,0.21243589999999998,0.0013286945,0.032632105,40,30,794,0.0,1.0,500,0.0001,auto,0.2897,0.08917068,0.4179,0.07726312,1.0
0.26165,0.0782338,0.0,0.0,0.9210883,0.20288579,0.0003422188,0.030764889,40,30,999,0.0,1.0,500,0.0001,auto,0.28965002,0.08718731,0.41149998,0.07859866,1.0
0.26325002,0.08314558,0.0,0.0,0.9338711999999999,0.22388628,0.00016254136,0.027371619,40,30,1258,0.0,1.0,500,0.0001,auto,0.28665003,0.09149058,0.41829994,0.07503406,1.0
0.25715,0.07832706,0.0,0.0,0.94174767,0.20206767,-0.0012100574,0.027725924,40,30,1584,0.0,1.0,500,0.0001,auto,0.28125003,0.086326055,0.4243,0.08112958,1.0
0.25275,0.07393367,0.0,0.0,0.95353705,0.21416193,-0.001017545,0.025286267,40,30,1995,0.0,1.0,500,0.0001,auto,0.2785,0.082766235,0.4152,0.081556484,1.0
0.2665,0.08154906,0.0,0.0,0.9345853999999999,0.19313589,0.0012515254,0.024252812999999998,40,30,2511,0.0,1.0,500,0.0001,auto,0.28915,0.08839416,0.41875002,0.0789442,1.0
0.265,0.08291561,0.0,0.0,0.9681880999999999,0.2208969,0.00040890605,0.022658104,40,30,3162,0.0,1.0,100,0.0001,auto,0.28300002,0.089224435,0.41799998,0.07906326,1.0
0.2475,0.08996527,0.0,0.0,0.9476909,0.19966748,-0.002247755,0.022882706000000003,40,30,3981,0.0,1.0,100,0.0001,auto,0.27,0.09968701,0.42675003,0.08232974,1.0
0.25875,0.07266146,0.0,0.0,0.9493495999999999,0.2310536,0.0010966446000000001,0.026206424,40,30,5011,0.0,1.0,100,0.0001,auto,0.28925002,0.08733949,0.42125,0.081805795,1.0
0.25975,0.078094095,0.0,0.0,0.9635716000000001,0.22040320000000002,-0.0029588556,0.022254233999999998,40,30,6309,0.0,1.0,100,0.0001,auto,0.289,0.09009162,0.4255,0.07097359,1.0
0.25750002,0.08173892,0.0,0.0,0.9726998,0.2006339,1.9146297e-05,0.021998362999999996,40,30,7943,0.0,1.0,100,0.0001,auto,0.28625,0.08932909,0.4025,0.076852135,1.0
0.24675,0.0822082,0.0,0.0,0.9661757,0.21242827,0.0030022665999999997,0.017600806,40,30,10000,0.0,1.0,100,0.0001,auto,0.2715,0.093743004,0.43500003,0.08038967,1.0
