gen,gensd,train,trainsd,m0,m0sd,m1,m1sd,m2,m2sd,q0,q0sd,q1,q1sd,N,D,P,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd
0.21715005,0.06541152,1.0027497e-07,3.041079e-08,5.909333,0.23448332,1.0258441,0.15503055,-0.00425373,0.009487232,0.20957494,0.026684191,1.2834132,0.17962062,1000,100,100,0.1,1.0,20,0.0001,auto,250.1532,274.51266,2.0263388,0.2917515
0.12484681,0.02474241,1.3275462e-07,3.4618818e-08,5.9287157,0.21327363,1.1289144,0.13286936,4.7898935e-05,0.005402041,0.24380048,0.023703136,1.4183496,0.16937827,1000,100,127,0.1,1.0,20,0.0001,auto,5.4194837,1.8984126,2.0042806,0.2714914
0.08765789,0.016939111,1.837561e-07,3.601795e-08,6.054069,0.13446215,1.2177231,0.19455923,-0.0024009116,0.010618951,0.28707454,0.030586096,1.5504031,0.25026456,1000,100,162,0.1,1.0,20,0.0001,auto,2.7151597,0.5312728,2.0477138,0.26793018
0.06466277,0.010016132,2.5466966e-07,3.551632e-08,6.1708884,0.12283909,1.2580653,0.1301212,-0.004195578,0.010877306,0.3486511,0.027114874,1.6234206,0.16946904,1000,100,206,0.1,1.0,20,0.0001,auto,1.9320856,0.24975012,1.9746832,0.21207744
0.05818941,0.007971577,3.9279664e-07,6.118999e-08,6.190993,0.1312114,1.3105605,0.16769855,-0.0021321632,0.015638486,0.43997598,0.040015806,1.7009089,0.21775822,1000,100,263,0.1,1.0,20,0.0001,auto,1.6130552,0.16577029,1.9961056,0.20989673
0.05963663,0.007330336,6.036849e-07,8.6756124e-08,6.2241216,0.12741221,1.2907486,0.15280877,0.0035581167,0.010336069,0.55979043,0.04366479,1.6716607,0.19899496,1000,100,335,0.1,1.0,20,0.0001,auto,1.4372283,0.094816916,2.0008132,0.15982169
0.05869573,0.0059528914,1.0227956e-06,1.50871e-07,6.204166,0.101261176,1.3228395,0.19453196,-0.0022726257,0.012040562,0.750515,0.06924697,1.7313732,0.2562079,1000,100,428,0.1,1.0,20,0.0001,auto,1.3119859,0.06348362,2.071716,0.16440424
0.07071807,0.0060115913,2.1707215e-06,3.7058302e-07,6.2602763,0.118732564,1.2357686,0.22165294,-0.008339557,0.018773777,1.1079558,0.13349321,1.6245056,0.2964644,1000,100,545,0.1,1.0,20,0.0001,auto,1.225001,0.04898443,1.9589118,0.1764421
0.10442753,0.007747115,7.6010087e-06,1.166756e-06,6.2753015,0.27893916,1.3905445,0.15824923,0.000105222316,0.027201952,2.0411415,0.19541758,1.8269676,0.20895362,1000,100,695,0.1,1.0,20,0.0001,auto,1.1800632,0.04161476,2.0895984,0.14507592
0.20286582,0.024526421,8.632782e-05,2.1725518e-05,6.1540446,0.22802265,1.2593759,0.144892,-0.021653302,0.03450817,4.976315,0.531514,1.6712435,0.19882838,1000,100,885,0.1,1.0,20,0.0001,auto,1.1304007,0.029524544,2.0230978,0.10608938
0.2123652,0.017966982,0.0036777437,0.0005206829,6.2742815,0.2986902,1.2843025,0.2027178,0.028870394,0.03913445,5.5104237,0.536376,1.7104768,0.26355147,1000,100,1128,0.1,1.0,20,0.0001,auto,1.1016936,0.019527167,2.0443373,0.12259125
0.08782652,0.0053945608,0.009449135,0.0006052881,6.216465,0.13027339,1.2990111,0.14698325,-0.00015282212,0.029354759,2.1444318,0.14490388,1.6933545,0.188773,1000,100,1438,0.1,1.0,20,0.0001,auto,1.0757765,0.016362209,2.1473742,0.10888856
0.059114125,0.0034291055,0.013954041,0.0008720458,6.209557,0.14842725,1.3217719,0.22519344,0.00039681068,0.025155151,1.3208492,0.10055796,1.7200323,0.2948022,1000,100,1832,0.1,1.0,20,0.0001,auto,1.0566152,0.01484946,2.2590926,0.1523354
0.04471269,0.0029532867,0.017684575,0.000674568,6.2061515,0.10953027,1.3294095,0.18754095,0.0086206095,0.015351171,0.9184104,0.055816114,1.7357944,0.24459293,1000,100,2335,0.1,1.0,20,0.0001,auto,1.0436648,0.011145695,2.474551,0.101958685
0.036513444,0.002462759,0.020513926,0.0011186576,6.1985903,0.1170928,1.2604421,0.16495235,-0.0071790167,0.012468957,0.72052264,0.06640935,1.639596,0.2142098,1000,100,2976,0.1,1.0,20,0.0001,auto,1.0324442,0.008304035,2.9141114,0.06535043
0.032277044,0.0012679435,0.022900885,0.00093679666,6.1902742,0.0839227,1.3436791,0.17786217,-0.003999554,0.013182668,0.59135836,0.03894995,1.7510799,0.22869468,1000,100,3792,0.1,1.0,20,0.0001,auto,1.0272435,0.006283175,4.4610004,0.15525573
0.029529316,0.0016185531,0.024723155,0.0011707207,6.1528106,0.08778326,1.3504318,0.16603571,-0.0017985068,0.010565377,0.5119203,0.04651638,1.7581768,0.21554984,1000,100,4832,0.1,1.0,20,0.0001,auto,1.0203928,0.004276417,24.637808,2.0581377
0.027160479,0.0012097965,0.026078582,0.0007837285,6.1996365,0.074289955,1.3047903,0.113417126,0.004453496,0.015054875,0.45426533,0.029612178,1.698816,0.1467681,1000,100,6158,0.1,1.0,20,0.0001,auto,1.0164723,0.00470916,5.9111114,0.20702621
0.025602365,0.0013101319,0.027018994,0.0011174721,6.158559,0.08625721,1.2967777,0.19032128,-0.00054324337,0.01185563,0.40459773,0.0446169,1.6886753,0.24740185,1000,100,7847,0.1,1.0,20,0.0001,auto,1.0127611,0.0029442084,2.9735427,0.06506593
0.024441754,0.0011668608,0.027684305,0.0008937864,6.1533117,0.045793165,1.2968533,0.1901271,0.0015714243,0.012552505,0.3705246,0.039567623,1.688392,0.2465237,1000,100,10000,0.1,1.0,20,0.0001,auto,1.010898,0.0026269676,2.0864444,0.026613848
